"filename", "language", "JSON", "JavaScript", "Markdown", "TypeScript", "CSS", "JSON with Comments", "HTML", "XML", "comment", "blank", "total"
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\assets\p2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\assets\p3.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\assets\twitter.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\environments\environment.prod.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\environments\environment.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 3, 16
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\main.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\styles.css", "CSS", 0, 0, 0, 0, 22, 0, 0, 0, 1, 5, 28
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\tailwind.config.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 1, 1, 9
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\tsconfig.app.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 1, 1, 16
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 33, 0, 0, 1, 1, 35
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\tsconfig.spec.json", "JSON", 16, 0, 0, 0, 0, 0, 0, 0, 1, 1, 18
"Total", "-", 14426, 7, 14, 2725, 69, 33, 477, 10, 249, 433, 18443
